,metro_area,median_sale_price,house_count
0,"Baltimore,MD",250600.0,3028
1,"Boston,MA",800000.0,2395
2,"Charlotte,NC",420000.0,4052
3,"Chicago,IL",360000.0,3903
4,"Columbus,OH",255000.0,3028
5,"Denver,CO",635000.0,1310
6,"Detroit,MI",58750.0,14
7,"Fresno,CA",361000.0,309
8,"Indianapolis,IN",222250.0,1452
9,"Jacksonville,FL",305000.0,3900
10,"Las Vegas,NV",441000.0,2671
11,"Los Angeles,CA",1043000.0,4425
12,"Louisville,KY",180000.0,667
13,"Memphis,TN",184645.0,2
14,"Milwaukee,WI",189900.0,3078
15,"Nashville,TN",466000.0,1531
16,"New York,NY",850500.0,3191
17,"Oklahoma City,OK",257000.0,3345
18,"Philadelphia,PA",280000.0,3518
19,"Phoenix,AZ",460000.0,4012
20,"Portland,OR",580000.0,3860
21,"San Diego,CA",900000.0,3517
22,"San Francisco,CA",1575000.0,2025
23,"San Jose,CA",1369000.0,2488
24,"Seattle,WA",875000.0,3354
25,"Washington,DC",700000.0,2799
