,metro_area,last_update_month,last_update_year,median_sale_price,house_count,month_name
0,"Atlanta,GA",4.0,2022.0,407000.0,688,Apr2022.0
1,"Atlanta,GA",5.0,2022.0,440500.0,1448,May2022.0
2,"Atlanta,GA",6.0,2022.0,385900.0,1517,Jun2022.0
3,"Atlanta,GA",7.0,2022.0,390250.0,258,Jul2022.0
4,"Baltimore,MD",5.0,2022.0,265000.0,757,May2022.0
5,"Baltimore,MD",6.0,2022.0,240000.0,1850,Jun2022.0
6,"Baltimore,MD",7.0,2022.0,275000.0,498,Jul2022.0
7,"Boston,MA",4.0,2022.0,800000.0,364,Apr2022.0
8,"Boston,MA",5.0,2022.0,789000.0,699,May2022.0
9,"Boston,MA",6.0,2022.0,800000.0,1042,Jun2022.0
10,"Boston,MA",7.0,2022.0,810000.0,267,Jul2022.0
11,"Charlotte,NC",4.0,2022.0,416500.0,288,Apr2022.0
12,"Charlotte,NC",5.0,2022.0,418500.0,1565,May2022.0
13,"Charlotte,NC",6.0,2022.0,422500.0,1704,Jun2022.0
14,"Charlotte,NC",7.0,2022.0,417000.0,485,Jul2022.0
15,"Colorado Springs,CO",4.0,2022.0,546000.0,4,Apr2022.0
16,"Colorado Springs,CO",5.0,2022.0,437975.5,126,May2022.0
17,"Colorado Springs,CO",6.0,2022.0,465500.0,610,Jun2022.0
18,"Colorado Springs,CO",7.0,2022.0,475000.0,9,Jul2022.0
19,"Columbus,OH",4.0,2022.0,212000.0,1,Apr2022.0
20,"Columbus,OH",5.0,2022.0,302000.0,9,May2022.0
21,"Columbus,OH",6.0,2022.0,255000.0,3015,Jun2022.0
22,"Columbus,OH",7.0,2022.0,360000.0,3,Jul2022.0
23,"Denver,CO",4.0,2022.0,645000.0,15,Apr2022.0
24,"Denver,CO",5.0,2022.0,657000.0,559,May2022.0
25,"Denver,CO",6.0,2022.0,623250.0,756,Jun2022.0
26,"Denver,CO",7.0,2022.0,485000.0,7,Jul2022.0
27,"Detroit,MI",4.0,2022.0,101000.0,4,Apr2022.0
28,"Detroit,MI",5.0,2022.0,320000.0,3,May2022.0
29,"Detroit,MI",6.0,2022.0,21500.0,5,Jun2022.0
30,"Detroit,MI",7.0,2022.0,62500.0,3,Jul2022.0
31,"Fresno,CA",4.0,2022.0,336500.0,70,Apr2022.0
32,"Fresno,CA",5.0,2022.0,380000.0,74,May2022.0
33,"Fresno,CA",6.0,2022.0,371000.0,155,Jun2022.0
34,"Fresno,CA",7.0,2022.0,386500.0,13,Jul2022.0
35,"Indianapolis,IN",5.0,2022.0,216000.0,451,May2022.0
36,"Indianapolis,IN",6.0,2022.0,225000.0,1006,Jun2022.0
37,"Jacksonville,FL",4.0,2022.0,381000.0,42,Apr2022.0
38,"Jacksonville,FL",5.0,2022.0,308936.0,1606,May2022.0
